pkt arrived time,pkt arrived time(Scaled),MACsrc,MACdst,APPID,length,gocbRef,Timeallowedtolive,datset,goID,t,stNum,sqNum,istest?,num of data,data
1648635749.14365,8243178.74571825,20:17:01:16:f0:23,01:0c:cd:01:00:01,0x8001,147,SimulationTestbed/PIOC$TRSF1$CBStval,2000,SimulationTestbed/PIOC$CBStval,PIOC_TRSF1_CBStval,1648635748,1,0,FALSE,4,"[0, 1, 0, 1]"
1648635749.86098,8243178.74930490,20:17:01:16:f0:32,01:0c:cd:01:00:01,0x8002,147,SimulationTestbed/PIOC$TRSF2$CBStval,2000,SimulationTestbed/PIOC$CBStval,PIOC_TRSF2_CBStval,1648635748,1,0,FALSE,4,"[1, 0, 0, 1]"
1648635750.14377,8243178.75071885,20:17:01:16:f0:23,01:0c:cd:01:00:01,0x8001,147,SimulationTestbed/PIOC$TRSF1$CBStval,2000,SimulationTestbed/PIOC$CBStval,PIOC_TRSF1_CBStval,1648635748,1,1,FALSE,4,"[0, 1, 0, 1]"
1648635750.86125,8243178.75430625,20:17:01:16:f0:32,01:0c:cd:01:00:01,0x8002,147,SimulationTestbed/PIOC$TRSF2$CBStval,2000,SimulationTestbed/PIOC$CBStval,PIOC_TRSF2_CBStval,1648635748,1,1,FALSE,4,"[1, 0, 0, 1]"
1648635751.14398,8243178.75571990,20:17:01:16:f0:23,01:0c:cd:01:00:01,0x8001,147,SimulationTestbed/PIOC$TRSF1$CBStval,2000,SimulationTestbed/PIOC$CBStval,PIOC_TRSF1_CBStval,1648635748,1,2,FALSE,4,"[0, 1, 0, 1]"
1648635751.86131,8243178.75930655,20:17:01:16:f0:32,01:0c:cd:01:00:01,0x8002,147,SimulationTestbed/PIOC$TRSF2$CBStval,2000,SimulationTestbed/PIOC$CBStval,PIOC_TRSF2_CBStval,1648635748,1,2,FALSE,4,"[1, 0, 0, 1]"
1648635752.14486,8243178.76072430,20:17:01:16:f0:23,01:0c:cd:01:00:01,0x8001,147,SimulationTestbed/PIOC$TRSF1$CBStval,2000,SimulationTestbed/PIOC$CBStval,PIOC_TRSF1_CBStval,1648635748,1,3,FALSE,4,"[0, 1, 0, 1]"
1648635752.86178,8243178.76430890,20:17:01:16:f0:32,01:0c:cd:01:00:01,0x8002,147,SimulationTestbed/PIOC$TRSF2$CBStval,2000,SimulationTestbed/PIOC$CBStval,PIOC_TRSF2_CBStval,1648635748,1,3,FALSE,4,"[1, 0, 0, 1]"
1648635753.14575,8243178.76572875,20:17:01:16:f0:23,01:0c:cd:01:00:01,0x8001,147,SimulationTestbed/PIOC$TRSF1$CBStval,2000,SimulationTestbed/PIOC$CBStval,PIOC_TRSF1_CBStval,1648635748,1,4,FALSE,4,"[0, 1, 0, 1]"
1648635753.86200,8243178.76931000,20:17:01:16:f0:32,01:0c:cd:01:00:01,0x8002,147,SimulationTestbed/PIOC$TRSF2$CBStval,2000,SimulationTestbed/PIOC$CBStval,PIOC_TRSF2_CBStval,1648635748,1,4,FALSE,4,"[1, 0, 0, 1]"
1648635754.04026,8243178.77020130,20:17:01:16:f0:11,01:0c:cd:01:00:01,0x8003,152,SimulationTestbed/PIOC$FDR$CBStval,2000,SimulationTestbed/PIOC$CBStval,PIOC_FDR_CBStval,1648635753,1,0,FALSE,7,"[0, 1, 0, 0, 0, 0, 0]"
1648635754.14600,8243178.77073000,20:17:01:16:f0:23,01:0c:cd:01:00:01,0x8001,147,SimulationTestbed/PIOC$TRSF1$CBStval,2000,SimulationTestbed/PIOC$CBStval,PIOC_TRSF1_CBStval,1648635748,1,5,FALSE,4,"[0, 1, 0, 1]"
1648635754.86246,8243178.77431230,20:17:01:16:f0:32,01:0c:cd:01:00:01,0x8002,147,SimulationTestbed/PIOC$TRSF2$CBStval,2000,SimulationTestbed/PIOC$CBStval,PIOC_TRSF2_CBStval,1648635748,1,5,FALSE,4,"[1, 0, 0, 1]"
1648635755.03999,8243178.77519995,20:17:01:16:f0:11,01:0c:cd:01:00:01,0x8003,152,SimulationTestbed/PIOC$FDR$CBStval,2000,SimulationTestbed/PIOC$CBStval,PIOC_FDR_CBStval,1648635753,1,1,FALSE,7,"[0, 1, 0, 0, 0, 0, 0]"
1648635755.14624,8243178.77573120,20:17:01:16:f0:23,01:0c:cd:01:00:01,0x8001,147,SimulationTestbed/PIOC$TRSF1$CBStval,2000,SimulationTestbed/PIOC$CBStval,PIOC_TRSF1_CBStval,1648635748,1,6,FALSE,4,"[0, 1, 0, 1]"
1648635755.86271,8243178.77931355,20:17:01:16:f0:32,01:0c:cd:01:00:01,0x8002,147,SimulationTestbed/PIOC$TRSF2$CBStval,2000,SimulationTestbed/PIOC$CBStval,PIOC_TRSF2_CBStval,1648635748,1,6,FALSE,4,"[1, 0, 0, 1]"
1648635756.04035,8243178.78020175,20:17:01:16:f0:11,01:0c:cd:01:00:01,0x8003,152,SimulationTestbed/PIOC$FDR$CBStval,2000,SimulationTestbed/PIOC$CBStval,PIOC_FDR_CBStval,1648635753,1,2,FALSE,7,"[0, 1, 0, 0, 0, 0, 0]"
1648635756.14648,8243178.78073240,20:17:01:16:f0:23,01:0c:cd:01:00:01,0x8001,147,SimulationTestbed/PIOC$TRSF1$CBStval,2000,SimulationTestbed/PIOC$CBStval,PIOC_TRSF1_CBStval,1648635748,1,7,FALSE,4,"[0, 1, 0, 1]"
1648635756.86277,8243178.78431385,20:17:01:16:f0:32,01:0c:cd:01:00:01,0x8002,147,SimulationTestbed/PIOC$TRSF2$CBStval,2000,SimulationTestbed/PIOC$CBStval,PIOC_TRSF2_CBStval,1648635748,1,7,FALSE,4,"[1, 0, 0, 1]"
1648635757.04107,8243178.78520535,20:17:01:16:f0:11,01:0c:cd:01:00:01,0x8003,152,SimulationTestbed/PIOC$FDR$CBStval,2000,SimulationTestbed/PIOC$CBStval,PIOC_FDR_CBStval,1648635753,1,3,FALSE,7,"[0, 1, 0, 0, 0, 0, 0]"
1648635757.14688,8243178.78573440,20:17:01:16:f0:23,01:0c:cd:01:00:01,0x8001,147,SimulationTestbed/PIOC$TRSF1$CBStval,2000,SimulationTestbed/PIOC$CBStval,PIOC_TRSF1_CBStval,1648635748,1,8,FALSE,4,"[0, 1, 0, 1]"
1648635757.86345,8243178.78931725,20:17:01:16:f0:32,01:0c:cd:01:00:01,0x8002,147,SimulationTestbed/PIOC$TRSF2$CBStval,2000,SimulationTestbed/PIOC$CBStval,PIOC_TRSF2_CBStval,1648635748,1,8,FALSE,4,"[1, 0, 0, 1]"
