pkt arrived time,pkt arrived time(Scaled),MACsrc,MACdst,APPID,length,noASDU,svID1,smpCnt1,Data1,svID2,smpCnt2,Data2,svID3,smpCnt3,Data3,svID4,smpCnt4,Data4,svID5,smpCnt5,Data5,svID6,smpCnt6,Data6,svID7,smpCnt7,Data7,svID8,smpCnt8,Data8,svID9,smpCnt9,Data9
1648198507.87353,8240992.53936765,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4001,509,13,66kV1,977,9,66kV2,977,0,66kV3,977,17,TRSF1W1,977,9,TRSF2W1,977,17,TRSF1W2,977,15,TRSF2W2,977,30,CB_TRSF1,977,26,CB_TRSF2,977,52
1648198507.90931,8240992.53954655,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4002,491,13,22kV1,965,0,22kV2,965,0,22kV3,965,26,FDR1,965,0,FDR2,965,26,FDR3,965,26,FDR4,965,26,F_22kV1,965,0,F_22kV2,965,0
1648198507.92507,8240992.53962535,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4001,509,13,66kV1,978,9,66kV2,978,0,66kV3,978,17,TRSF1W1,978,9,TRSF2W1,978,17,TRSF1W2,978,15,TRSF2W2,978,30,CB_TRSF1,978,26,CB_TRSF2,978,52
1648198507.95954,8240992.53979770,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4002,491,13,22kV1,966,0,22kV2,966,0,22kV3,966,26,FDR1,966,0,FDR2,966,26,FDR3,966,26,FDR4,966,26,F_22kV1,966,0,F_22kV2,966,0
1648198507.97493,8240992.53987465,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4001,509,13,66kV1,979,9,66kV2,979,0,66kV3,979,17,TRSF1W1,979,9,TRSF2W1,979,17,TRSF1W2,979,15,TRSF2W2,979,30,CB_TRSF1,979,26,CB_TRSF2,979,52
1648198508.01068,8240992.54005340,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4002,491,13,22kV1,967,0,22kV2,967,0,22kV3,967,26,FDR1,967,0,FDR2,967,26,FDR3,967,26,FDR4,967,26,F_22kV1,967,0,F_22kV2,967,0
1648198508.02558,8240992.54012790,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4001,509,13,66kV1,980,9,66kV2,980,0,66kV3,980,17,TRSF1W1,980,9,TRSF2W1,980,17,TRSF1W2,980,15,TRSF2W2,980,30,CB_TRSF1,980,26,CB_TRSF2,980,52
1648198508.06061,8240992.54030305,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4002,491,13,22kV1,968,0,22kV2,968,0,22kV3,968,26,FDR1,968,0,FDR2,968,26,FDR3,968,26,FDR4,968,26,F_22kV1,968,0,F_22kV2,968,0
1648198508.07757,8240992.54038785,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4001,509,13,66kV1,981,9,66kV2,981,0,66kV3,981,17,TRSF1W1,981,9,TRSF2W1,981,17,TRSF1W2,981,15,TRSF2W2,981,30,CB_TRSF1,981,26,CB_TRSF2,981,52
1648198508.11289,8240992.54056445,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4002,491,13,22kV1,969,0,22kV2,969,0,22kV3,969,26,FDR1,969,0,FDR2,969,26,FDR3,969,26,FDR4,969,26,F_22kV1,969,0,F_22kV2,969,0
1648198508.12783,8240992.54063915,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4001,509,13,66kV1,982,9,66kV2,982,0,66kV3,982,17,TRSF1W1,982,9,TRSF2W1,982,17,TRSF1W2,982,15,TRSF2W2,982,30,CB_TRSF1,982,26,CB_TRSF2,982,52
1648198508.16162,8240992.54080810,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4002,491,13,22kV1,970,0,22kV2,970,0,22kV3,970,26,FDR1,970,0,FDR2,970,26,FDR3,970,26,FDR4,970,26,F_22kV1,970,0,F_22kV2,970,0
1648198508.17881,8240992.54089405,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4001,509,13,66kV1,983,9,66kV2,983,0,66kV3,983,17,TRSF1W1,983,9,TRSF2W1,983,17,TRSF1W2,983,15,TRSF2W2,983,30,CB_TRSF1,983,26,CB_TRSF2,983,52
1648198508.21303,8240992.54106515,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4002,491,13,22kV1,971,0,22kV2,971,0,22kV3,971,26,FDR1,971,0,FDR2,971,26,FDR3,971,26,FDR4,971,26,F_22kV1,971,0,F_22kV2,971,0
1648198508.22880,8240992.54114400,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4001,509,13,66kV1,984,9,66kV2,984,0,66kV3,984,17,TRSF1W1,984,9,TRSF2W1,984,17,TRSF1W2,984,15,TRSF2W2,984,30,CB_TRSF1,984,26,CB_TRSF2,984,52
1648198508.26275,8240992.54131375,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4002,491,13,22kV1,972,0,22kV2,972,0,22kV3,972,26,FDR1,972,0,FDR2,972,26,FDR3,972,26,FDR4,972,26,F_22kV1,972,0,F_22kV2,972,0
1648198508.27978,8240992.54139890,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4001,509,13,66kV1,985,9,66kV2,985,0,66kV3,985,17,TRSF1W1,985,9,TRSF2W1,985,17,TRSF1W2,985,15,TRSF2W2,985,30,CB_TRSF1,985,26,CB_TRSF2,985,52
1648198508.31281,8240992.54156405,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4002,491,13,22kV1,973,0,22kV2,973,0,22kV3,973,26,FDR1,973,0,FDR2,973,26,FDR3,973,26,FDR4,973,26,F_22kV1,973,0,F_22kV2,973,0
1648198508.32974,8240992.54164870,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4001,509,13,66kV1,986,9,66kV2,986,0,66kV3,986,17,TRSF1W1,986,9,TRSF2W1,986,17,TRSF1W2,986,15,TRSF2W2,986,30,CB_TRSF1,986,26,CB_TRSF2,986,52
1648198508.36357,8240992.54181785,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4002,491,13,22kV1,974,0,22kV2,974,0,22kV3,974,26,FDR1,974,0,FDR2,974,26,FDR3,974,26,FDR4,974,26,F_22kV1,974,0,F_22kV2,974,0
1648198508.38388,8240992.54191940,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4001,509,13,66kV1,987,9,66kV2,987,0,66kV3,987,17,TRSF1W1,987,9,TRSF2W1,987,17,TRSF1W2,987,15,TRSF2W2,987,30,CB_TRSF1,987,26,CB_TRSF2,987,52
1648198508.41358,8240992.54206790,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4002,491,13,22kV1,975,0,22kV2,975,0,22kV3,975,26,FDR1,975,0,FDR2,975,26,FDR3,975,26,FDR4,975,26,F_22kV1,975,0,F_22kV2,975,0
1648198508.43743,8240992.54218715,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4001,509,13,66kV1,988,9,66kV2,988,0,66kV3,988,17,TRSF1W1,988,9,TRSF2W1,988,17,TRSF1W2,988,15,TRSF2W2,988,30,CB_TRSF1,988,26,CB_TRSF2,988,52
1648198508.46492,8240992.54232460,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4002,491,13,22kV1,976,0,22kV2,976,0,22kV3,976,26,FDR1,976,0,FDR2,976,26,FDR3,976,26,FDR4,976,26,F_22kV1,976,0,F_22kV2,976,0
