pkt arrived time,pkt arrived time(Scaled),MACsrc,MACdst,APPID,length,noASDU,svID1,smpCnt1,Data1,svID2,smpCnt2,Data2,svID3,smpCnt3,Data3,svID4,smpCnt4,Data4,svID5,smpCnt5,Data5,svID6,smpCnt6,Data6,svID7,smpCnt7,Data7,svID8,smpCnt8,Data8,svID9,smpCnt9,Data9
1649652593.46080,8248262.96730400,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4001,509,13,66kV1,4489,17,66kV2,4489,0,66kV3,4489,17,TRSF1W1,4489,17,TRSF2W1,4489,17,TRSF1W2,4489,30,TRSF2W2,4489,30,CB_TRSF1,4489,52,CB_TRSF2,4489,52
1649652593.48075,8248262.96740375,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4002,491,13,22kV1,4476,26,22kV2,4476,0,22kV3,4476,26,FDR1,4476,26,FDR2,4476,26,FDR3,4476,26,FDR4,4476,26,F_22kV1,4476,0,F_22kV2,4476,0
1649652593.51099,8248262.96755495,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4001,509,13,66kV1,4490,17,66kV2,4490,0,66kV3,4490,17,TRSF1W1,4490,17,TRSF2W1,4490,17,TRSF1W2,4490,30,TRSF2W2,4490,30,CB_TRSF1,4490,52,CB_TRSF2,4490,52
1649652593.53041,8248262.96765205,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4002,491,13,22kV1,4477,26,22kV2,4477,0,22kV3,4477,26,FDR1,4477,26,FDR2,4477,26,FDR3,4477,26,FDR4,4477,26,F_22kV1,4477,0,F_22kV2,4477,0
1649652593.56113,8248262.96780565,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4001,509,13,66kV1,4491,17,66kV2,4491,0,66kV3,4491,17,TRSF1W1,4491,17,TRSF2W1,4491,17,TRSF1W2,4491,30,TRSF2W2,4491,30,CB_TRSF1,4491,52,CB_TRSF2,4491,52
1649652593.58238,8248262.96791190,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4002,491,13,22kV1,4478,26,22kV2,4478,0,22kV3,4478,26,FDR1,4478,26,FDR2,4478,26,FDR3,4478,26,FDR4,4478,26,F_22kV1,4478,0,F_22kV2,4478,0
1649652593.61142,8248262.96805710,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4001,509,13,66kV1,4492,17,66kV2,4492,0,66kV3,4492,17,TRSF1W1,4492,17,TRSF2W1,4492,17,TRSF1W2,4492,30,TRSF2W2,4492,30,CB_TRSF1,4492,52,CB_TRSF2,4492,52
1649652593.63190,8248262.96815950,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4002,491,13,22kV1,4479,26,22kV2,4479,0,22kV3,4479,26,FDR1,4479,26,FDR2,4479,26,FDR3,4479,26,FDR4,4479,26,F_22kV1,4479,0,F_22kV2,4479,0
1649652593.66282,8248262.96831410,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4001,509,13,66kV1,4493,17,66kV2,4493,0,66kV3,4493,17,TRSF1W1,4493,17,TRSF2W1,4493,17,TRSF1W2,4493,30,TRSF2W2,4493,30,CB_TRSF1,4493,52,CB_TRSF2,4493,52
1649652593.68197,8248262.96840985,20:17:01:16:f2:54,01:0c:cd:04:00:01,0x4002,491,13,22kV1,4480,26,22kV2,4480,0,22kV3,4480,26,FDR1,4480,26,FDR2,4480,26,FDR3,4480,26,FDR4,4480,26,F_22kV1,4480,0,F_22kV2,4480,0
